koreanName,englishName,emoji,filename,category,tagline
통역사,Interpreter,🗣️,통역사_Interpreter.png,education,언어 사이의 다리를 놓는 전문가
사회복지사,Social Worker,🤲,사회복지사_Social Worker.png,education,필요한 도움을 연결하는 복지 전문가
심리상담사,Psychological Counselor,🧠,심리상담사_Psychological Counselor.png,education,마음과 행동의 이유를 탐구하는 분석가
교육 콘텐츠 기획자,Educational Content Planner,📚,교육 콘텐츠 기획자_Educational Content Planner.png,education,배움의 길을 열어 주는 선생님
독서지도사,Reading Instructor,📖,독서지도사_Reading Instructor.png,education,책과 정보를 사람에게 연결하는 안내자
사서,Librarian,📖,사서_Librarian.png,education,책과 정보를 사람에게 연결하는 안내자
박물관 교육사,Museum Educator,📚,박물관 교육사_Museum Educator.png,education,배움의 길을 열어 주는 선생님
문화기획자,Cultural Planner,🤝,문화기획자_Cultural Planner.png,education,사람의 성장을 곁에서 도와주는 안내자
창의교육가,Creative Educator,📚,창의교육가_Creative Educator.png,education,배움의 길을 열어 주는 선생님
어린이 방송 진행자,Childrens TV Host,🎤,어린이 방송 진행자_Childrens TV Host.png,education,말과 에너지로 사람을 연결하는 진행자
학교 상담 프로그램 기획자,School Counseling Program Planner,💬,학교 상담 프로그램 기획자_School Counseling Program Planner.png,education,이야기를 듣고 방향을 함께 찾는 조력자
커뮤니티 리더,Community Leader,🤝,커뮤니티 리더_Community Leader.png,education,사람의 성장을 곁에서 도와주는 안내자
기록관리사,Records Manager,🗂️,기록관리사_Records Manager.png,education,중요한 자료를 오래 지키는 정리 전문가
셰프,Chef,🍳,셰프_Chef.png,field,맛과 즐거움을 만드는 요리 전문가
베이커,Baker,🍳,베이커_Baker.png,field,맛과 즐거움을 만드는 요리 전문가
플로리스트,Florist,🌸,플로리스트_Florist.png,field,꽃으로 감정을 전하는 디자이너
목공예가,Woodworker,🪵,목공예가_Woodworker.png,field,손끝으로 쓸모 있는 작품을 만드는 장인
공예가,Craft Artist,🪵,공예가_Craft Artist.png,field,손끝으로 쓸모 있는 작품을 만드는 장인
도예가,Ceramic Artist,🛠️,도예가_Ceramic Artist.png,field,몸과 손으로 현장의 문제를 해결하는 실천가
자동차 정비사,Automotive Mechanic,🔧,자동차 정비사_Automotive Mechanic.png,field,기계와 장비가 안전하게 움직이게 하는 기술자
항공정비사,Aircraft Mechanic,🔧,항공정비사_Aircraft Mechanic.png,field,기계와 장비가 안전하게 움직이게 하는 기술자
전기기술자,Electrical Technician,🔧,전기기술자_Electrical Technician.png,field,기계와 장비가 안전하게 움직이게 하는 기술자
건축가,Architect,🏗️,건축가_Architect.png,field,사람이 머무는 공간을 만드는 전문가
건설관리자,Construction Manager,🏗️,건설관리자_Construction Manager.png,field,사람이 머무는 공간을 만드는 전문가
조경가,Landscape Architect,🏗️,조경가_Landscape Architect.png,field,사람이 머무는 공간을 만드는 전문가
농업기술자,Agricultural Technician,🌿,농업기술자_Agricultural Technician.png,field,생명이 잘 자라도록 돌보는 현장 전문가
동물훈련사,Animal Trainer,🐾,동물훈련사_Animal Trainer.png,field,동물의 건강과 안전을 돌보는 전문가
동물보호 활동가,Animal Protection Activist,🐾,동물보호 활동가_Animal Protection Activist.png,field,동물의 건강과 안전을 돌보는 전문가
반려동물 미용사,Pet Groomer,🐾,반려동물 미용사_Pet Groomer.png,field,동물의 건강과 안전을 돌보는 전문가
자연해설사,Nature Interpreter,🛠️,자연해설사_Nature Interpreter.png,field,몸과 손으로 현장의 문제를 해결하는 실천가
스포츠 선수,Athlete,🏅,스포츠 선수_Athlete.png,field,몸의 가능성과 팀워크를 키우는 전문가
스포츠 트레이너,Sports Trainer,🏅,스포츠 트레이너_Sports Trainer.png,field,몸의 가능성과 팀워크를 키우는 전문가
스포츠 감독,Sports Coach,🏅,스포츠 감독_Sports Coach.png,field,몸의 가능성과 팀워크를 키우는 전문가
여행 가이드,Tour Guide,🧳,여행 가이드_Tour Guide.png,field,새로운 장소를 안전하고 즐겁게 안내하는 사람
파일럿,Pilot,✈️,파일럿_Pilot.png,field,하늘길을 안전하게 책임지는 조종사
드론 조종사,Drone Pilot,🛸,드론 조종사_Drone Pilot.png,field,하늘을 움직이는 기술을 다루는 전문가
체육교사,Physical Education Teacher,📚,체육교사_Physical Education Teacher.png,field,배움의 길을 열어 주는 선생님
해양 구조대원,Marine Rescue Worker,🌊,해양 구조대원_Marine Rescue Worker.png,field,바다 생명의 비밀을 찾는 연구자
스마트팜 기술자,Smart Farm Technician,🌿,스마트팜 기술자_Smart Farm Technician.png,field,생명이 잘 자라도록 돌보는 현장 전문가
무대 기술자,Stage Technician,🎭,무대 기술자_Stage Technician.png,field,공연의 순간을 완성하는 현장 전문가
의사,Doctor,🩺,의사_Doctor.png,medical,환자의 상태를 진단하고 치료하는 전문가
간호사,Nurse,💉,간호사_Nurse.png,medical,환자 곁에서 회복을 챙기는 돌봄 전문가
약사,Pharmacist,💊,약사_Pharmacist.png,medical,약을 안전하게 쓰도록 돕는 전문가
수의사,Veterinarian,🩺,수의사_Veterinarian.png,medical,환자의 상태를 진단하고 치료하는 전문가
물리치료사,Physical Therapist,🏃,물리치료사_Physical Therapist.png,medical,몸의 움직임을 회복하게 돕는 전문가
작업치료사,Occupational Therapist,🏃,작업치료사_Occupational Therapist.png,medical,몸의 움직임을 회복하게 돕는 전문가
치과위생사,Dental Hygienist,🩺,치과위생사_Dental Hygienist.png,medical,건강과 회복을 세심하게 돌보는 전문가
영양사,Nutritionist,🥗,영양사_Nutritionist.png,medical,음식으로 건강을 설계하는 전문가
응급구조사,Emergency Medical Technician,🚑,응급구조사_Emergency Medical Technician.png,medical,위급한 순간에 생명을 지키는 구조자
임상심리사,Clinical Psychologist,🧠,임상심리사_Clinical Psychologist.png,medical,마음과 행동의 이유를 탐구하는 분석가
아동발달 전문가,Child Development Specialist,🩺,아동발달 전문가_Child Development Specialist.png,medical,건강과 회복을 세심하게 돌보는 전문가
재활 트레이너,Rehabilitation Trainer,🏃,재활 트레이너_Rehabilitation Trainer.png,medical,몸의 움직임을 회복하게 돕는 전문가
의료기록사,Medical Records Technician,🩺,의료기록사_Medical Records Technician.png,medical,건강과 회복을 세심하게 돌보는 전문가
보건교사,Health Teacher,📚,보건교사_Health Teacher.png,medical,배움의 길을 열어 주는 선생님
수의테크니션,Veterinary Technician,🐾,수의테크니션_Veterinary Technician.png,medical,동물의 건강과 안전을 돌보는 전문가
병원 코디네이터,Hospital Coordinator,🩺,병원 코디네이터_Hospital Coordinator.png,medical,건강과 회복을 세심하게 돌보는 전문가
의료사회복지사,Medical Social Worker,🤲,의료사회복지사_Medical Social Worker.png,medical,필요한 도움을 연결하는 복지 전문가
미술치료사,Art Therapist,🎨,미술치료사_Art Therapist.png,medical,표현 활동으로 회복을 돕는 전문가
소방관,Firefighter,🚒,소방관_Firefighter.png,public,위험한 순간 가장 먼저 달려가는 구조자
소방대장,Fire Captain,🚒,소방대장_Fire Captain.png,public,위험한 순간 가장 먼저 달려가는 구조자
경찰관,Police Officer,👮,경찰관_Police Officer.png,public,질서와 안전을 지키는 공공 전문가
변호사,Lawyer,⚖️,변호사_Lawyer.png,public,법으로 권리와 책임을 다루는 전문가
인권변호사,Human Rights Lawyer,⚖️,인권변호사_Human Rights Lawyer.png,public,법으로 권리와 책임을 다루는 전문가
판사,Judge,🛡️,판사_Judge.png,public,공동체의 안전과 약속을 지키는 사람
공무원,Civil Servant,🏢,공무원_Civil Servant.png,public,사회가 잘 움직이도록 제도를 만드는 사람
외교관,Diplomat,🌐,외교관_Diplomat.png,public,나라와 나라 사이를 연결하는 협력가
국제기구 활동가,International Organization Activist,🌐,국제기구 활동가_International Organization Activist.png,public,나라와 나라 사이를 연결하는 협력가
국제기구 기획자,International Organization Planner,🌐,국제기구 기획자_International Organization Planner.png,public,나라와 나라 사이를 연결하는 협력가
환경운동가,Environmental Activist,🌱,환경운동가_Environmental Activist.png,public,자연의 균형을 지키는 관찰자
도시계획가,Urban Planner,🛡️,도시계획가_Urban Planner.png,public,공동체의 안전과 약속을 지키는 사람
도시 혁신 기획자,Urban Innovation Planner,🛡️,도시 혁신 기획자_Urban Innovation Planner.png,public,공동체의 안전과 약속을 지키는 사람
재난안전 전문가,Disaster Safety Specialist,🛡️,재난안전 전문가_Disaster Safety Specialist.png,public,공동체의 안전과 약속을 지키는 사람
항공관제사,Air Traffic Controller,📡,항공관제사_Air Traffic Controller.png,public,정해진 질서를 지켜 안전한 이동을 돕는 전문가
철도 관제사,Railway Traffic Controller,📡,철도 관제사_Railway Traffic Controller.png,public,정해진 질서를 지켜 안전한 이동을 돕는 전문가
군 장교,Military Officer,🛰️,군 장교_Military Officer.png,public,국가와 시민의 안전을 지키는 전문가
인권활동가,Human Rights Activist,🛡️,인권활동가_Human Rights Activist.png,public,공동체의 안전과 약속을 지키는 사람
정책연구원,Policy Researcher,🏢,정책연구원_Policy Researcher.png,public,사회가 잘 움직이도록 제도를 만드는 사람
법무사,Judicial Scrivener,⚖️,법무사_Judicial Scrivener.png,public,법으로 권리와 책임을 다루는 전문가
안전관리 전문가,Safety Management Specialist,🛡️,안전관리 전문가_Safety Management Specialist.png,public,공동체의 안전과 약속을 지키는 사람
과학자,Scientist,🔬,과학자_Scientist.png,research,궁금한 원리를 끝까지 파고드는 탐구가
천문학자,Astronomer,🔭,천문학자_Astronomer.png,research,별과 우주의 신호를 읽는 탐험가
해양생물학자,Marine Biologist,🌊,해양생물학자_Marine Biologist.png,research,바다 생명의 비밀을 찾는 연구자
기후 과학자,Climate Scientist,🌦️,기후 과학자_Climate Scientist.png,research,날씨와 지구의 변화를 읽는 분석가
의학 연구원,Medical Researcher,🧪,의학 연구원_Medical Researcher.png,research,새 치료 가능성을 찾는 연구자
신약개발 연구원,Drug Development Researcher,🧪,신약개발 연구원_Drug Development Researcher.png,research,새 치료 가능성을 찾는 연구자
유전공학자,Genetic Engineer,🧬,유전공학자_Genetic Engineer.png,research,DNA 속 정보를 해석하는 과학자
로봇공학자,Robotics Engineer,🤖,로봇공학자_Robotics Engineer.png,research,기계가 똑똑하게 움직이게 만드는 전문가
로봇 기술자,Robotics Technician,🤖,로봇 기술자_Robotics Technician.png,research,기계가 똑똑하게 움직이게 만드는 전문가
우주공학자,Aerospace Engineer,🚀,우주공학자_Aerospace Engineer.png,research,하늘 너머 기술을 설계하는 공학자
생태연구원,Ecology Researcher,🌱,생태연구원_Ecology Researcher.png,research,자연의 균형을 지키는 관찰자
고고학자,Archaeologist,🏺,고고학자_Archaeologist.png,research,옛 흔적으로 역사를 복원하는 탐구가
심리학자,Psychologist,🧠,심리학자_Psychologist.png,research,마음과 행동의 이유를 탐구하는 분석가
수학자,Mathematician,📐,수학자_Mathematician.png,research,숫자와 패턴으로 답을 찾는 해결사
통계학자,Statistician,📐,통계학자_Statistician.png,research,숫자와 패턴으로 답을 찾는 해결사
식품연구원,Food Researcher,🥗,식품연구원_Food Researcher.png,research,맛과 안전을 함께 연구하는 전문가
실험물리학자,Experimental Physicist,🔬,실험물리학자_Experimental Physicist.png,research,궁금한 원리를 끝까지 파고드는 탐구가
에너지 시스템 연구원,Energy Systems Researcher,⚡,에너지 시스템 연구원_Energy Systems Researcher.png,research,미래 에너지를 설계하는 연구자
발명 연구원,Invention Researcher,💡,발명 연구원_Invention Researcher.png,research,불편함을 새 아이디어로 바꾸는 창작 연구자
